CustomerID,CustomerName,Gender,Age,City,Country,LoyaltyTier
69,Customer 69,Female,56,Bangalore,India,Platinum
70,Customer 70,Female,32,Kolkata,India,Platinum
71,Customer 71,Male,45,Mumbai,India,Platinum
72,Customer 72,Female,27,Bangalore,India,Platinum
73,Customer 73,Female,27,Kolkata,India,Gold
74,Customer 74,Male,28,Delhi,India,Platinum
75,Customer 75,Male,24,Kolkata,India,Platinum
76,Customer 76,Female,55,Chennai,India,Bronze
77,Customer 77,Female,48,Bangalore,India,Platinum
78,Customer 78,Male,52,Kolkata,India,Silver
79,Customer 79,Male,28,Kolkata,India,Silver
80,Customer 80,Male,53,Kolkata,India,Bronze
81,Customer 81,Male,20,Delhi,India,Gold
82,Customer 82,Male,20,Mumbai,India,Platinum
83,Customer 83,Male,29,Delhi,India,Bronze
84,Customer 84,Male,19,Delhi,India,Silver
85,Customer 85,Female,30,Delhi,India,Gold
86,Customer 86,Female,44,Chennai,India,Platinum
87,Customer 87,Male,60,Bangalore,India,Gold
88,Customer 88,Female,39,Chennai,India,Platinum
89,Customer 89,Male,31,Mumbai,India,Gold
90,Customer 90,Male,57,Chennai,India,Bronze
91,Customer 91,Male,47,Kolkata,India,Platinum
92,Customer 92,Female,44,Chennai,India,Platinum
93,Customer 93,Male,28,Chennai,India,Bronze
94,Customer 94,Female,42,Mumbai,India,Bronze
95,Customer 95,Female,29,Mumbai,India,Silver
96,Customer 96,Male,20,Kolkata,India,Bronze
97,Customer 97,Male,22,Delhi,India,Silver
98,Customer 98,Female,45,Chennai,India,Bronze
99,Customer 99,Female,54,Kolkata,India,Platinum
100,Customer 100,Male,39,Mumbai,India,Bronze
101,Customer 101,Male,43,Delhi,India,Gold
102,Customer 102,Male,25,Kolkata,India,Platinum
103,Customer 103,Male,31,Bangalore,India,Bronze
104,Customer 104,Female,23,Delhi,India,Gold
105,Customer 105,Female,45,Chennai,India,Platinum
106,Customer 106,Female,46,Mumbai,India,Silver
107,Customer 107,Female,48,Bangalore,India,Gold
108,Customer 108,Male,25,Mumbai,India,Silver
109,Customer 109,Male,51,Mumbai,India,Platinum
110,Customer 110,Female,33,Delhi,India,Platinum
111,Customer 111,Female,47,Kolkata,India,Bronze
112,Customer 112,Male,56,Chennai,India,Silver
113,Customer 113,Female,20,Bangalore,India,Platinum
114,Customer 114,Male,46,Bangalore,India,Silver
115,Customer 115,Male,23,Kolkata,India,Bronze
116,Customer 116,Male,45,Delhi,India,Silver
117,Customer 117,Female,36,Mumbai,India,Platinum
118,Customer 118,Female,19,Delhi,India,Bronze
119,Customer 119,Female,43,Kolkata,India,Silver
120,Customer 120,Male,46,Mumbai,India,Gold
121,Customer 121,Male,58,Kolkata,India,Bronze
122,Customer 122,Female,33,Bangalore,India,Platinum
123,Customer 123,Female,26,Mumbai,India,Platinum
124,Customer 124,Female,47,Mumbai,India,Bronze
125,Customer 125,Female,52,Kolkata,India,Gold
126,Customer 126,Female,18,Delhi,India,Platinum
127,Customer 127,Male,60,Kolkata,India,Silver
128,Customer 128,Female,37,Delhi,India,Silver
129,Customer 129,Male,43,Mumbai,India,Bronze
130,Customer 130,Female,57,Delhi,India,Silver
131,Customer 131,Male,41,Mumbai,India,Gold
132,Customer 132,Male,52,Delhi,India,Platinum
133,Customer 133,Female,50,Mumbai,India,Bronze
134,Customer 134,Female,27,Bangalore,India,Bronze
135,Customer 135,Male,21,Chennai,India,Bronze
136,Customer 136,Male,42,Bangalore,India,Platinum
137,Customer 137,Male,40,Bangalore,India,Platinum
138,Customer 138,Male,45,Mumbai,India,Platinum
139,Customer 139,Male,30,Mumbai,India,Platinum
140,Customer 140,Male,18,Chennai,India,Silver
141,Customer 141,Male,29,Chennai,India,Gold
142,Customer 142,Female,58,Bangalore,India,Silver
143,Customer 143,Female,25,Bangalore,India,Silver
144,Customer 144,Female,24,Delhi,India,Platinum
145,Customer 145,Female,50,Delhi,India,Silver
146,Customer 146,Female,27,Mumbai,India,Gold
147,Customer 147,Female,36,Delhi,India,Bronze
148,Customer 148,Female,24,Delhi,India,Gold
149,Customer 149,Male,57,Mumbai,India,Platinum
150,Customer 150,Female,55,Mumbai,India,Gold
151,Customer 151,Female,28,Delhi,India,Bronze
152,Customer 152,Male,56,Chennai,India,Silver
153,Customer 153,Male,43,Delhi,India,Silver
154,Customer 154,Male,44,Mumbai,India,Bronze
155,Customer 155,Male,38,Chennai,India,Platinum
156,Customer 156,Female,36,Delhi,India,Platinum
157,Customer 157,Male,47,Chennai,India,Silver
158,Customer 158,Male,55,Delhi,India,Gold
159,Customer 159,Female,31,Kolkata,India,Bronze
160,Customer 160,Male,42,Bangalore,India,Bronze
161,Customer 161,Female,39,Kolkata,India,Bronze
162,Customer 162,Female,25,Mumbai,India,Gold
163,Customer 163,Male,24,Bangalore,India,Bronze
164,Customer 164,Female,59,Mumbai,India,Platinum
165,Customer 165,Male,53,Chennai,India,Platinum
166,Customer 166,Female,36,Bangalore,India,Platinum
167,Customer 167,Female,29,Chennai,India,Bronze
168,Customer 168,Female,48,Bangalore,India,Silver
169,Customer 169,Female,48,Mumbai,India,Silver
170,Customer 170,Female,43,Chennai,India,Silver
171,Customer 171,Male,21,Chennai,India,Silver
172,Customer 172,Female,57,Delhi,India,Gold
173,Customer 173,Female,45,Chennai,India,Bronze
174,Customer 174,Male,27,Bangalore,India,Platinum
175,Customer 175,Female,45,Kolkata,India,Gold
176,Customer 176,Male,37,Chennai,India,Silver
177,Customer 177,Female,29,Chennai,India,Platinum
178,Customer 178,Female,48,Delhi,India,Platinum
179,Customer 179,Female,46,Bangalore,India,Platinum
180,Customer 180,Male,21,Kolkata,India,Bronze
181,Customer 181,Female,29,Mumbai,India,Silver
182,Customer 182,Male,60,Chennai,India,Platinum
183,Customer 183,Female,37,Chennai,India,Silver
184,Customer 184,Male,55,Bangalore,India,Gold
185,Customer 185,Male,37,Mumbai,India,Platinum
186,Customer 186,Female,39,Mumbai,India,Platinum
187,Customer 187,Female,25,Chennai,India,Bronze
188,Customer 188,Female,32,Mumbai,India,Silver
189,Customer 189,Male,50,Kolkata,India,Gold
190,Customer 190,Female,46,Kolkata,India,Silver
191,Customer 191,Female,44,Mumbai,India,Platinum
192,Customer 192,Male,48,Mumbai,India,Platinum
193,Customer 193,Male,23,Bangalore,India,Gold
194,Customer 194,Female,44,Chennai,India,Platinum
195,Customer 195,Female,53,Chennai,India,Silver
196,Customer 196,Male,20,Bangalore,India,Bronze
197,Customer 197,Male,52,Kolkata,India,Gold
198,Customer 198,Male,28,Mumbai,India,Gold
199,Customer 199,Male,56,Kolkata,India,Gold
200,Customer 200,Female,30,Mumbai,India,Bronze
